iter	NDCG:type=Base_SumError	NDCG:type=Base_SumWeight	MAP_SumError	MAP_SumWeight
0	21.26761727	26	16.53075175	26
1	21.38948616	26	17.19741841	26
2	21.38948616	26	17.19741841	26
3	21.38948616	26	17.19741841	26
4	21.92391466	26	18.18051032	26
5	21.99089576	26	18.18051032	26
6	22.42604497	26	19.10662143	26
7	22.42604497	26	19.10662143	26
8	22.42604497	26	19.10662143	26
9	22.42604497	26	19.10662143	26
10	22.4380084	26	19.13995477	26
11	22.4380084	26	19.13995477	26
12	22.4380084	26	19.13995477	26
13	22.4380084	26	19.13995477	26
14	22.4380084	26	19.13995477	26
15	22.4380084	26	19.13995477	26
16	22.45511632	26	19.18995477	26
17	22.45511632	26	19.18995477	26
18	22.45511632	26	19.18995477	26
19	22.46434406	26	19.18995477	26
20	22.46434406	26	19.18995477	26
21	22.46434406	26	19.18995477	26
22	22.46434406	26	19.18995477	26
23	22.61183919	26	19.23251429	26
24	22.61183919	26	19.23251429	26
25	22.59473127	26	19.18251429	26
26	22.59473127	26	19.18251429	26
27	22.66744192	26	19.18251429	26
28	22.66744192	26	19.18251429	26
29	22.66744192	26	19.18251429	26
30	22.66744192	26	19.18251429	26
31	22.66744192	26	19.18251429	26
32	22.66744192	26	19.18251429	26
33	22.66744192	26	19.18251429	26
34	22.66744192	26	19.18251429	26
35	23.14129564	26	19.87608572	26
36	23.14129564	26	19.87608572	26
37	23.14129564	26	19.87608572	26
38	22.66744192	26	19.18251429	26
39	22.66744192	26	19.18251429	26
40	22.66744192	26	19.18251429	26
41	22.66744192	26	19.18251429	26
42	22.66744192	26	19.18251429	26
43	22.66744192	26	19.18251429	26
44	22.66744192	26	19.18251429	26
45	22.66744192	26	19.18251429	26
46	22.66744192	26	19.18251429	26
47	22.66744192	26	19.18251429	26
48	22.66744192	26	19.18251429	26
49	23.14129564	26	19.87608572	26
50	23.14129564	26	19.87608572	26
51	23.14129564	26	19.87608572	26
52	23.14129564	26	19.87608572	26
53	23.14129564	26	19.87608572	26
54	23.14129564	26	19.87608572	26
55	23.14129564	26	19.87608572	26
56	23.14129564	26	19.87608572	26
57	23.14129564	26	19.87608572	26
58	23.14129564	26	19.87608572	26
59	23.14129564	26	19.87608572	26
60	23.14129564	26	19.87608572	26
61	23.14129564	26	19.87608572	26
62	23.14129564	26	19.87608572	26
63	23.18365956	26	19.93528555	26
64	22.70980584	26	19.24171412	26
65	22.70980584	26	19.24171412	26
66	23.18365956	26	19.93528555	26
67	23.18365956	26	19.93528555	26
68	23.18365956	26	19.93528555	26
69	23.18365956	26	19.93528555	26
70	23.12585846	26	19.82504745	26
71	23.12585846	26	19.82504745	26
72	23.12585846	26	19.82504745	26
73	22.70980584	26	19.24171412	26
74	22.70980584	26	19.24171412	26
75	22.70980584	26	19.24171412	26
76	22.70980584	26	19.24171412	26
77	22.75500013	26	19.30695582	26
78	22.75500013	26	19.30695582	26
79	22.75500013	26	19.30695582	26
80	22.75500013	26	19.30695582	26
81	22.75500013	26	19.30695582	26
82	22.75500013	26	19.30695582	26
83	22.75500013	26	19.30695582	26
84	22.75500013	26	19.30695582	26
85	22.75500013	26	19.30695582	26
86	22.75500013	26	19.30695582	26
87	22.75500013	26	19.30695582	26
88	22.75500013	26	19.30695582	26
89	22.75155714	26	19.30695582	26
90	22.75155714	26	19.30695582	26
91	22.75500013	26	19.30695582	26
92	22.75500013	26	19.30695582	26
93	22.7952411	26	19.30695582	26
94	22.7952411	26	19.30695582	26
95	22.7952411	26	19.30695582	26
96	22.7952411	26	19.30695582	26
97	22.79868409	26	19.30695582	26
98	22.79868409	26	19.30695582	26
99	22.7952411	26	19.30695582	26
100	22.7952411	26	19.30695582	26
101	22.79868409	26	19.30695582	26
102	22.79868409	26	19.30695582	26
103	22.7952411	26	19.30695582	26
104	22.7952411	26	19.30695582	26
105	22.79868409	26	19.30695582	26
106	22.79868409	26	19.30695582	26
107	22.7856137	26	19.24171412	26
108	22.7856137	26	19.24171412	26
109	22.7856137	26	19.24171412	26
110	22.7856137	26	19.24171412	26
111	22.7856137	26	19.24171412	26
112	22.7856137	26	19.24171412	26
113	22.7856137	26	19.24171412	26
114	22.7856137	26	19.24171412	26
115	22.7856137	26	19.24171412	26
116	22.7856137	26	19.24171412	26
117	22.7856137	26	19.24171412	26
118	22.7856137	26	19.24171412	26
119	22.7856137	26	19.24171412	26
