iter	Passed	Remaining
0	2	8131
1	4	7308
2	6	6969
3	9	6794
4	11	6724
5	13	6620
6	15	6580
7	17	6548
8	19	6544
9	21	6523
10	23	6510
11	26	6495
12	28	6483
13	30	6479
14	32	6470
15	34	6458
16	36	6456
17	38	6443
18	41	6437
19	43	6435
20	45	6436
21	47	6429
22	49	6425
23	51	6418
24	53	6413
25	56	6412
26	58	6407
27	60	6401
28	62	6398
29	64	6391
30	66	6389
31	68	6384
32	70	6377
33	73	6374
34	75	6372
35	77	6367
36	79	6365
37	81	6363
38	83	6364
39	85	6355
40	87	6349
41	90	6348
42	92	6346
43	94	6344
44	96	6340
45	98	6336
46	100	6329
47	102	6330
48	105	6329
49	107	6326
50	109	6323
51	111	6316
52	113	6314
53	115	6306
54	117	6302
55	119	6301
56	122	6300
57	124	6297
58	126	6293
59	128	6289
60	130	6287
61	132	6287
62	134	6284
63	136	6282
64	139	6280
65	141	6278
66	143	6276
67	145	6273
68	147	6271
69	149	6267
70	151	6264
71	153	6261
72	156	6258
73	158	6256
74	160	6254
75	162	6252
76	164	6250
77	166	6247
78	168	6246
79	171	6245
80	173	6243
81	175	6241
82	177	6239
83	179	6238
84	181	6236
85	183	6233
86	186	6231
87	188	6227
88	190	6225
89	192	6222
90	194	6221
91	196	6219
92	199	6221
93	201	6220
94	203	6214
95	205	6212
96	207	6209
97	209	6207
98	211	6204
99	213	6201
100	215	6199
101	218	6196
102	220	6194
103	222	6192
104	224	6191
105	226	6189
106	228	6185
107	230	6183
108	233	6181
109	235	6180
110	237	6178
111	239	6176
112	241	6174
113	243	6172
114	245	6170
115	248	6170
116	250	6168
117	252	6167
118	254	6165
119	256	6162
120	258	6162
121	261	6160
122	263	6157
123	265	6156
124	267	6155
125	269	6153
126	271	6148
127	273	6146
128	276	6145
129	278	6141
130	280	6140
131	282	6138
132	284	6136
133	286	6133
134	288	6131
135	291	6129
136	293	6128
137	295	6126
138	297	6124
139	299	6122
140	301	6120
141	303	6114
142	305	6109
143	307	6104
144	309	6098
145	311	6093
146	313	6088
147	315	6082
148	317	6077
149	319	6071
150	321	6066
151	323	6061
152	325	6055
153	327	6050
154	329	6046
155	331	6041
156	333	6036
157	335	6031
158	337	6027
159	339	6023
160	341	6018
161	343	6013
162	345	6008
163	347	6003
164	349	5999
165	351	5995
166	353	5990
167	355	5986
168	357	5982
169	359	5977
170	361	5973
171	363	5971
172	365	5966
173	367	5961
174	368	5956
175	370	5951
176	372	5947
177	374	5941
178	376	5937
179	378	5932
180	380	5927
181	382	5923
182	384	5918
183	386	5914
184	388	5910
185	390	5906
186	392	5902
187	394	5898
188	396	5894
189	398	5889
190	400	5884
191	402	5879
192	403	5874
193	405	5870
194	407	5865
195	409	5861
196	411	5857
197	413	5853
198	415	5848
199	417	5844
200	419	5842
201	421	5839
202	423	5835
203	425	5831
204	427	5827
205	429	5824
206	431	5819
207	433	5815
208	435	5811
209	437	5807
210	439	5804
211	441	5800
212	443	5797
213	445	5794
214	447	5790
215	448	5785
216	450	5781
217	452	5777
218	454	5773
219	456	5770
220	458	5766
221	460	5763
222	462	5760
223	464	5756
224	466	5753
225	468	5750
226	470	5746
227	472	5742
228	474	5739
229	476	5735
230	478	5732
231	480	5729
232	482	5726
233	484	5722
234	486	5719
235	488	5716
236	490	5713
237	492	5710
238	494	5707
239	496	5704
240	498	5701
241	500	5698
242	502	5695
243	503	5692
244	505	5688
245	507	5685
246	509	5681
247	511	5678
248	513	5675
249	515	5672
250	517	5669
251	519	5666
252	521	5663
253	523	5660
254	525	5657
255	527	5655
256	529	5652
257	531	5649
258	533	5645
259	535	5642
260	537	5640
261	539	5637
262	541	5634
263	543	5631
264	545	5628
265	547	5625
266	549	5622
267	551	5619
268	553	5617
269	555	5614
270	557	5611
271	559	5609
272	561	5606
273	563	5603
274	565	5601
275	567	5598
276	569	5596
277	571	5593
278	573	5590
279	575	5587
280	577	5584
281	579	5582
282	581	5579
283	583	5576
284	585	5573
285	587	5571
286	589	5568
287	591	5565
288	593	5562
289	594	5559
290	596	5557
291	598	5554
292	600	5551
293	602	5548
294	604	5546
295	606	5543
296	608	5540
297	610	5538
298	612	5535
299	614	5532
300	616	5530
301	618	5527
302	620	5524
303	622	5521
304	624	5518
305	626	5516
306	628	5513
307	630	5510
308	632	5508
309	634	5505
310	636	5502
311	638	5500
312	640	5497
313	642	5495
314	644	5492
315	646	5489
316	648	5487
317	650	5484
318	652	5481
319	654	5479
320	656	5476
321	658	5474
322	660	5471
323	662	5469
324	664	5466
325	666	5464
326	668	5461
327	670	5459
328	672	5456
329	674	5454
330	676	5451
331	678	5449
332	680	5446
333	682	5444
334	683	5441
335	686	5439
336	688	5436
337	689	5434
338	691	5431
339	693	5429
340	695	5426
341	697	5424
342	699	5421
343	701	5418
344	703	5416
345	705	5413
346	707	5411
347	709	5408
348	711	5405
349	713	5402
350	715	5400
351	717	5397
352	719	5395
353	721	5392
354	723	5389
355	725	5387
356	727	5384
357	729	5382
358	731	5379
359	733	5377
360	735	5374
361	737	5372
362	739	5369
363	741	5366
364	743	5365
365	745	5362
366	747	5360
367	749	5358
368	751	5355
369	753	5353
370	755	5350
371	757	5347
372	759	5345
373	761	5343
374	762	5340
375	764	5337
376	766	5335
377	768	5333
378	770	5330
379	772	5327
380	774	5325
381	776	5322
382	778	5320
383	780	5317
384	782	5314
385	784	5312
386	786	5310
387	788	5307
388	790	5305
389	792	5302
390	794	5300
391	796	5298
392	798	5295
393	800	5293
394	802	5291
395	804	5288
396	806	5286
397	808	5284
398	810	5281
399	812	5279
400	814	5277
401	816	5275
402	818	5272
403	820	5270
404	822	5267
405	824	5265
406	826	5263
407	828	5261
408	830	5258
409	832	5256
410	834	5254
411	836	5251
412	838	5249
413	840	5247
414	841	5244
415	843	5242
416	845	5239
417	847	5237
418	849	5235
419	851	5232
420	853	5230
421	855	5228
422	857	5226
423	859	5223
424	861	5221
425	863	5219
426	865	5216
427	867	5214
428	869	5212
429	871	5209
430	873	5207
431	875	5205
432	877	5202
433	879	5200
434	881	5198
435	883	5195
436	885	5193
437	887	5191
438	889	5188
439	891	5186
440	893	5183
441	895	5181
442	897	5179
443	899	5176
444	901	5174
445	903	5172
446	905	5169
447	907	5167
448	909	5165
449	911	5163
450	913	5161
451	915	5158
452	917	5156
453	919	5154
454	921	5152
455	923	5149
456	925	5147
457	927	5145
458	929	5143
459	931	5140
460	932	5138
461	934	5136
462	936	5134
463	938	5131
464	940	5129
465	942	5127
466	944	5125
467	946	5122
468	948	5120
469	950	5117
470	952	5115
471	954	5113
472	956	5111
473	958	5109
474	960	5106
475	962	5104
476	964	5102
477	966	5100
478	968	5098
479	970	5095
480	972	5093
481	974	5091
482	976	5089
483	978	5086
484	980	5084
485	982	5082
486	984	5080
487	986	5077
488	988	5075
489	990	5072
490	992	5070
491	994	5068
492	996	5065
493	998	5063
494	1000	5061
495	1002	5059
496	1004	5057
497	1006	5055
498	1008	5052
499	1010	5051
500	1012	5050
501	1014	5049
502	1017	5049
503	1019	5048
504	1021	5047
505	1024	5047
506	1026	5046
507	1028	5045
508	1030	5043
509	1032	5040
510	1034	5037
511	1036	5035
512	1038	5032
513	1040	5030
514	1042	5028
515	1043	5025
516	1045	5023
517	1047	5020
518	1049	5018
519	1051	5015
520	1053	5013
521	1055	5010
522	1057	5008
523	1059	5006
524	1061	5003
525	1063	5001
526	1065	4999
527	1067	4997
528	1069	4995
529	1071	4992
530	1073	4990
531	1075	4988
532	1077	4986
533	1079	4983
534	1081	4981
535	1083	4979
536	1085	4977
537	1087	4974
538	1089	4972
539	1090	4969
540	1092	4967
541	1094	4965
542	1096	4963
543	1098	4961
544	1100	4959
545	1102	4956
546	1104	4954
547	1106	4952
548	1108	4950
549	1110	4947
550	1112	4945
551	1114	4943
552	1116	4941
553	1118	4939
554	1120	4937
555	1122	4934
556	1124	4932
557	1126	4930
558	1128	4928
559	1130	4926
560	1132	4923
561	1134	4921
562	1136	4919
563	1138	4917
564	1140	4914
565	1142	4912
566	1144	4910
567	1146	4908
568	1148	4906
569	1150	4904
570	1152	4902
571	1154	4899
572	1156	4897
573	1158	4895
574	1160	4893
575	1162	4891
576	1164	4889
577	1166	4887
578	1168	4884
579	1170	4882
580	1172	4880
581	1174	4878
582	1176	4876
583	1178	4873
584	1180	4872
585	1182	4869
586	1184	4867
587	1186	4865
588	1188	4863
589	1190	4861
590	1192	4859
591	1194	4857
592	1196	4855
593	1198	4853
594	1200	4851
595	1202	4848
596	1204	4846
597	1206	4844
598	1208	4842
599	1210	4840
600	1212	4838
601	1214	4836
602	1216	4834
603	1218	4832
604	1220	4830
605	1222	4828
606	1224	4825
607	1226	4823
608	1228	4821
609	1230	4819
610	1231	4816
611	1233	4814
612	1236	4813
613	1238	4811
614	1240	4809
615	1242	4806
616	1244	4804
617	1246	4802
618	1248	4800
619	1249	4798
620	1251	4796
621	1253	4793
622	1255	4791
623	1257	4789
624	1259	4787
625	1261	4785
626	1263	4782
627	1265	4780
628	1267	4778
629	1269	4776
630	1271	4774
631	1273	4771
632	1275	4769
633	1277	4767
634	1279	4765
635	1281	4763
636	1283	4761
637	1285	4758
638	1287	4756
639	1289	4754
640	1291	4752
641	1293	4750
642	1295	4748
643	1297	4746
644	1299	4743
645	1301	4741
646	1303	4739
647	1305	4737
648	1307	4735
649	1309	4733
650	1311	4731
651	1313	4729
652	1315	4727
653	1317	4725
654	1319	4723
655	1321	4720
656	1323	4718
657	1325	4716
658	1327	4714
659	1329	4712
660	1331	4710
661	1333	4708
662	1335	4705
663	1337	4703
664	1339	4701
665	1340	4699
666	1342	4697
667	1344	4694
668	1346	4692
669	1348	4690
670	1350	4688
671	1352	4686
672	1354	4684
673	1356	4682
674	1358	4679
675	1360	4677
676	1362	4675
677	1364	4673
678	1366	4670
679	1368	4668
680	1370	4666
681	1372	4664
682	1374	4661
683	1376	4659
684	1378	4657
685	1380	4655
686	1382	4653
687	1383	4650
688	1385	4648
689	1387	4646
690	1389	4644
691	1391	4642
692	1393	4639
693	1395	4637
694	1397	4635
695	1399	4633
696	1401	4631
697	1403	4628
698	1405	4626
699	1407	4624
700	1409	4622
701	1411	4620
702	1413	4618
703	1415	4615
704	1417	4613
705	1419	4611
706	1421	4609
707	1423	4606
708	1425	4604
709	1427	4602
710	1428	4600
711	1430	4598
712	1432	4596
713	1434	4593
714	1436	4591
715	1438	4589
716	1440	4587
717	1442	4585
718	1444	4583
719	1446	4580
720	1448	4578
721	1450	4576
722	1452	4574
723	1454	4572
724	1456	4570
725	1458	4568
726	1460	4565
727	1462	4563
728	1464	4561
729	1466	4559
730	1468	4557
731	1470	4554
732	1472	4552
733	1473	4550
734	1475	4548
735	1477	4546
736	1479	4544
737	1481	4541
738	1483	4540
739	1485	4538
740	1487	4535
741	1489	4533
742	1491	4531
743	1493	4529
744	1495	4527
745	1497	4524
746	1499	4522
747	1501	4520
748	1503	4518
749	1505	4516
750	1507	4514
751	1509	4512
752	1511	4510
753	1513	4508
754	1515	4505
755	1517	4503
756	1519	4501
757	1521	4499
758	1523	4497
759	1525	4495
760	1527	4493
761	1529	4491
762	1531	4488
763	1533	4486
764	1535	4484
765	1536	4482
766	1538	4480
767	1540	4478
768	1542	4476
769	1544	4474
770	1546	4471
771	1548	4469
772	1550	4467
773	1552	4465
774	1554	4463
775	1556	4461
776	1558	4459
777	1560	4457
778	1562	4454
779	1564	4452
780	1566	4450
781	1568	4448
782	1570	4446
783	1572	4444
784	1574	4442
785	1576	4440
786	1578	4438
787	1580	4436
788	1582	4434
789	1584	4432
790	1586	4429
791	1588	4427
792	1590	4425
793	1592	4423
794	1594	4421
795	1596	4419
796	1597	4416
797	1599	4414
798	1601	4412
799	1603	4410
800	1605	4408
801	1607	4406
802	1609	4404
803	1611	4402
804	1613	4400
805	1615	4397
806	1617	4395
807	1619	4393
808	1621	4391
809	1623	4389
810	1625	4387
811	1627	4385
812	1629	4383
813	1631	4381
814	1633	4378
815	1635	4376
816	1637	4374
817	1639	4372
818	1641	4370
819	1642	4367
820	1644	4365
821	1646	4363
822	1648	4361
823	1650	4359
824	1652	4356
825	1654	4354
826	1656	4352
827	1658	4350
828	1660	4348
829	1662	4346
830	1664	4344
831	1666	4342
832	1668	4340
833	1670	4338
834	1672	4335
835	1674	4333
836	1676	4331
837	1678	4329
838	1680	4327
839	1682	4325
840	1684	4323
841	1685	4320
842	1687	4318
843	1689	4316
844	1691	4314
845	1693	4312
846	1695	4310
847	1697	4308
848	1699	4306
849	1701	4304
850	1703	4302
851	1705	4299
852	1707	4297
853	1709	4295
854	1711	4293
855	1713	4291
856	1715	4289
857	1717	4287
858	1719	4285
859	1721	4283
860	1723	4281
861	1725	4278
862	1727	4276
863	1729	4274
864	1731	4272
865	1733	4270
866	1734	4268
867	1736	4266
868	1738	4264
869	1740	4262
870	1742	4260
871	1744	4258
872	1746	4256
873	1748	4253
874	1750	4252
875	1752	4250
876	1754	4248
877	1756	4246
878	1758	4243
879	1760	4241
880	1762	4239
881	1764	4237
882	1766	4235
883	1768	4233
884	1770	4231
885	1772	4229
886	1774	4227
887	1776	4225
888	1778	4223
889	1780	4220
890	1782	4218
891	1784	4216
892	1786	4214
893	1788	4212
894	1790	4210
895	1792	4208
896	1794	4206
897	1796	4204
898	1798	4202
899	1800	4200
900	1802	4198
901	1804	4196
902	1806	4194
903	1807	4191
904	1809	4189
905	1811	4187
906	1813	4185
907	1815	4183
908	1817	4181
909	1819	4179
910	1821	4177
911	1823	4175
912	1825	4173
913	1827	4171
914	1829	4169
915	1831	4167
916	1833	4165
917	1835	4163
918	1837	4161
919	1839	4159
920	1841	4157
921	1843	4155
922	1845	4153
923	1847	4151
924	1849	4149
925	1851	4147
926	1853	4145
927	1855	4143
928	1857	4141
929	1859	4139
930	1861	4137
931	1863	4134
932	1865	4132
933	1867	4130
934	1869	4128
935	1871	4126
936	1873	4124
937	1875	4122
938	1877	4120
939	1879	4118
940	1881	4116
941	1883	4114
942	1885	4112
943	1887	4110
944	1889	4108
945	1891	4106
946	1893	4104
947	1895	4102
948	1897	4100
949	1899	4098
950	1901	4095
951	1903	4094
952	1905	4091
953	1906	4089
954	1908	4087
955	1910	4085
956	1912	4083
957	1914	4081
958	1916	4079
959	1918	4077
960	1920	4075
961	1922	4073
962	1924	4071
963	1926	4069
964	1928	4067
965	1930	4065
966	1932	4062
967	1934	4060
968	1936	4058
969	1938	4056
970	1940	4054
971	1942	4052
972	1944	4050
973	1946	4048
974	1948	4046
975	1950	4044
976	1952	4042
977	1954	4040
978	1956	4038
979	1958	4036
980	1960	4034
981	1962	4032
982	1964	4029
983	1966	4027
984	1967	4025
985	1969	4023
986	1971	4021
987	1973	4019
988	1975	4017
989	1977	4015
990	1979	4013
991	1981	4011
992	1983	4009
993	1985	4007
994	1987	4005
995	1989	4003
996	1991	4001
997	1993	3999
998	1995	3997
